OBJECTID,Shape,imperdible,cod_comuna,direccion,barrio,latitud,longitud,cod,nombre_sitio,tipo_atractivo,orden_visualizacion,sitio_web,nombre_comuna,cod_barrio,x_origen_nacional,y_origen_nacional
66,"(4714629.3439, 2247821.128200002)",NO,16,CL 30 A No. 55 - 64,Cerro Nutibara,6.23651123,-75.57989502,AT066,Parque Natural Metropolitano Cerro Nutibara,Cerro,74,https://www.medellin.gov.co/es/secretaria-medio-ambiente/medellin-biodiversa/cerro-nutibara/,Belén,Inst_18,4714629.3439,2247821.1282
67,"(4715946.0121, 2251818.128799999)",NO,04,CR 53 No. 76-115,Parque Norte,6.27270508,-75.56817627,AT067,Parque Norte J. Emilio Valderrama,Parque temático y recreativo,42,https://parquenorte.gov.co/,Aranjuez,Inst_9,4715946.0121,2251818.1288
68,"(4722304.7231, 2253643.799900001)",SI,90, ,Piedras Blancas - Matasano,6.28948975,-75.51080322,AT068,Parque Regional Ecoturístico Arví,Áreas con declaratorias departamentales,89,https://www.medellin.travel/medellin-arvi-park/?lang=en,Corregimiento de Santa Elena,9003,4722304.7231,2253643.7999
69,"(4714655.993400001, 2246362.7379)",SI,15,CR 52 No. 20 - 63,Santa Fé,6.22332764,-75.57958984,AT069,Parque de la Conservación,Otro,16,https://www.parquedelaconservacion.com/,Guayabal,1504,4714655.9934,2246362.7379
70,"(4715715.537000001, 2248896.0064000003)",NO,10,CR 51 entre CL 44 y CL 53,Guayaquil,6.24627686,-75.57012939,AT070,Paseo Bolívar,Sector urbano o rural de interés,1, ,La Candelaria,1007,4715715.537,2248896.0064
71,"(4717267.286600002, 2248469.881400002)",NO,09,CL 49 desde la Avenida Oriental y CR 29,Buenos Aires,6.24249268,-75.55609131,AT071,Paseo Peatonal Ayacucho,Sector urbano o rural de interés,2, ,Buenos Aires,0907,4717267.2866,2248469.8814
72,"(4715812.819300001, 2249449.1259000003)",NO,10,CR 52 entre las CLs 44 y 53,La Candelaria,6.25128174,-75.5692749,AT072,Paseo Peatonal Carabobo,Sector urbano o rural de interés,4, ,La Candelaria,1019,4715812.8193,2249449.1259
73,"(4716231.794000002, 2249474.0846999995)",NO,10,CR 49 con CLs 51 y 54,La Candelaria,6.25152588,-75.56549072,AT073,Paseo Peatonal de Junín,Sector urbano o rural de interés,4, ,La Candelaria,1019,4716231.794,2249474.0847
74,"(4716228.0695, 2244539.029000001)",NO,14,CR 35 entre las CLs 10 y 7,La Florida,6.20690918,-75.56530762,AT074,Paseo Provenza,Avenida y calle,6, ,El Poblado,1417,4716228.0695,2244539.029
75,"(4716661.9767, 2249026.413900003)",NO,10,CR 42 No. 50 A - 12,Boston,6.24749756,-75.56158447,AT075,Pequeño Teatro,Teatro,10,https://www.pequenoteatro.com/,La Candelaria,1016,4716661.9767,2249026.4139
76,"(4716870.741800002, 2248890.375900002)",NO,10,CR 39 No. 50 - 25,Boston,6.24627686,-75.55969238,AT076,Placita de Flórez,Plaza de mercado,8,https://www.medellin.gov.co/es/sala-de-prensa/noticias/cual-es-la-historia-de-la-placita-de-florez-en-medellin-y-su-relacion-con-los-silleteros/,La Candelaria,1016,4716870.7418,2248890.3759
77,"(4716187.2514, 2251418.629800003)",SI,04,CR 52 No. 71 - 117,Sevilla,6.269104,-75.565979,AT077,Planetario Municipal de Medellín Jesús Emilio Ramírez González,Planetario,84,https://www.planetariomedellin.org/quienes-somos,Aranjuez,0407,4716187.2514,2251418.6298
78,"(4715934.979700001, 2249563.2985999994)",SI,10,CR 52 con CL 52,La Candelaria,6.25231934,-75.56817627,AT078,Plaza Botero,Plaza,98,https://www.medellin.travel/botero-square-of-medellin/?lang=en,La Candelaria,1019,4715934.9797,2249563.2986
79,"(4715472.2358, 2248876.9416000023)",NO,10,CL 44 con CR 52,Guayaquil,6.24609375,-75.57232666,AT079,Plaza Cisneros,Plaza,68,https://www.centrodemedellin.co/ArticulosView.aspx?id=120,La Candelaria,1007,4715472.2358,2248876.9416
80,"(4713855.9462, 2245786.0442000013)",NO,15,CR 65 A No. 13-157,Parque Juan Pablo II,6.21807861,-75.58679199,AT080,Plaza Gardel,Plaza,34,https://gardelplaza.com/,Guayabal,Inst_19,4713855.9462,2245786.0442
81,"(4715017.989200002, 2248548.3555000033)",NO,10,CL 41 No. 55-80,La Alpujarra,6.24310303,-75.57641602,AT081,Plaza Mayor Medellín Convenciones y Exposiciones,Otro,100,https://www.medellin.travel/plaza-mayor-convenciones-y-exposiciones/,La Candelaria,Inst_16,4715017.9892,2248548.3555
82,"(4715437.7801, 2250119.325700002)",NO,10,CL 55 A No. 57-80,San Benito,6.25732422,-75.57269287,AT082,Plaza Minorista José María Villa,Plaza de mercado,30,https://www.plazaminorista.com/sitio/inicio,La Candelaria,1006,4715437.7801,2250119.3257
83,"(4714595.3336, 2247774.0363000035)",NO,16,CL 30 No. 55 - 64,Cerro Nutibara,6.23608398,-75.5802002,AT083,Pueblito Paisa,Plaza,92,https://www.medellin.travel/pueblito-paisa-cerro-nutibara/,Belén,Inst_18,4714595.3336,2247774.0363
84,"(4715094.074100001, 2247528.5544000007)",NO,16,Avenida Regional con la CR 51,Cerro Nutibara,6.23388672,-75.57568359,AT084,Puente de Guayaquil,Otro,10, ,Belén,Inst_18,4715094.0741,2247528.5544
85,"(4710526.831800001, 2248860.816299999)",NO,13,CR 92 No. 34D - 21,Belencito,6.24572754,-75.61700439,AT085,Santuario Santa Laura Montoya,Convento,12, ,San Javier,1311,4710526.8318,2248860.8163
86,"(4716333.5549, 2249561.353)",NO,10,CR 48 No. 54 - 20,Villa Nueva,6.25231934,-75.5645752,AT086,Teatro Lido,Teatro,14,https://www.medellin.travel/teatro-lido/,La Candelaria,1018,4716333.5549,2249561.353
87,"(4714889.631200001, 2248548.9836999997)",NO,10,CL 41 No. 57 - 30,La Alpujarra,6.24310303,-75.57757568,AT087,Teatro Metropolitano de Medellín José Gutiérrez Gómez,Teatro,48,https://www.teatrometropolitano.com/,La Candelaria,Inst_16,4714889.6312,2248548.9837
88,"(4716925.4429, 2249025.1318999995)",NO,10,CR 40 No. 51 - 24,Boston,6.24749756,-75.5592041,AT088,Teatro Pablo Tobón Uribe,Teatro,32,https://www.teatropablotobon.com/,La Candelaria,1016,4716925.4429,2249025.1319
89,"(4716773.944600001, 2249822.4996000007)",NO,10,CR 45d No. 59 - 01,Los Ángeles,6.25469971,-75.56060791,AT089,Teatro Prado el Águila Descalza,Teatro,12,https://www.aguiladescalza.com.co/,La Candelaria,1017,4716773.9446,2249822.4996
90,"(4713518.877700002, 2250061.242299998)",NO,11,Entre CRs 70 y 74 y CLs 48 y 50,U.D. Atanasio Girardot,6.25671387,-75.59002686,AT090,Unidad Deportiva Atanasio Girardot,Otro,54,https://www.medellin.travel/unidad-deportiva-atanasio-girardot/,Laureles Estadio,Inst_14,4713518.8777,2250061.2423
91,"(4713784.636000001, 2247778.010300001)",NO,16,CR 66 B No. 31 A - 15,Rosales,6.23608398,-75.58752441,AT091,Unidad Deportiva de Belén Andrés Escobar Saldarriaga,Estadio,20,https://filmedellin.com/locaciones/unidad-deportiva-de-belen/,Belén,1602,4713784.636,2247778.0103
92,"(4716032.797300001, 2244674.9978)",NO,14,CR 37 No. 9 A,El Poblado,6.20812988,-75.56707764,AT092,Vía Primavera,Avenida y calle,22, ,El Poblado,1418,4716032.7973,2244674.9978
