OBJECTID,Shape,nombre,label,estado,fecha_adopcion,fecha_actualizacion,Shape_Length
99,"(4713901.846385826, 2245665.6803293745)",Ciclorruta Carrera 65,Carrera 65,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,493.8374166006027
100,"(4712759.314620248, 2247454.1304288413)",Avenida 80 - 81,Avenida 80 - 81,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,9814.85982058148
101,"(4712714.996993768, 2245431.7484235656)",Diagonal 75CC,Diagonal 75CC,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1210.0493962847831
102,"(4715733.8822496105, 2243531.4419372673)",Calle 5 Sur,Calle 5 Sur,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,943.6165368551824
103,"(4715243.686642545, 2243870.66439775)",Calle 5 Sur,Calle 5 Sur,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,279.14684347154326
104,"(4715762.327765998, 2243446.846433297)",Avenida 34,Avenida 34,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2509.230167204307
105,"(4714545.810257939, 2243211.9581334833)",Calle 12 Sur,Calle 12 Sur,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1089.392991017987
106,"(4716198.463818794, 2246209.018252006)",Carretera Las Palmas,Carretera Las Palmas,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,4141.689792184547
107,"(4712757.232558288, 2244953.151378702)",Ciclorruta Fase 3,Ciclorruta Fase 3,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,405.86818303557607
108,"(4718608.582502351, 2253386.7690484724)",Longitudinal Oriental,Longitudinal Oriental,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1970.9959266738763
109,"(4718967.635099346, 2254616.7226131987)",Calle 121 - Carrera 30,Carrea 30,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,979.26921922679
110,"(4719305.7379382625, 2253902.034695278)",Ruta de Campeones,Ruta de Campeones,En Estudio,2014-12-17 00:00:00,2014-12-17 00:00:00,1840.6026244948378
111,"(4711835.233575279, 2246542.3323911955)",Calle 14 y 15A,Lateral Qda. Altavista,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,3536.6986707157484
112,"(4717781.304748167, 2254209.9178147786)",Carrera 46,Carrera 46,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2160.2237264884147
113,"(4718146.769645475, 2255208.8727371483)",Carrera 46,Carrera 46,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,217.3548999327791
114,"(4717779.721164109, 2255543.5600954224)",Calle 124,Calle 124,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,935.5090162266741
115,"(4718464.753337859, 2255073.444084106)",Carrera 42D,Carrera 42D,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,421.5115002106463
116,"(4718308.124134826, 2255262.022826363)",Calle 124,Calle 124,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,394.72211726080934
117,"(4718714.503925259, 2255094.729049672)",Calle 121,Calle 121,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,693.4879054932817
118,"(4717735.632352911, 2255221.322940847)",Carrera 49C,Carrera 49C,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,686.294569866286
119,"(4716784.927160433, 2250786.3349348526)",Carrera 50 - Palacé,Carrera 50,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1093.581982352709
120,"(4709747.776106096, 2239705.2988481987)",Vía a San Antonio de Prado,Vía A San Antonio de Prado,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,3749.563471121742
121,"(4716607.98322657, 2251327.2893754705)",Carrera 51,Carrera 51,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,957.3729958890445
122,"(4707569.2867249, 2240060.781650093)",Calle 77 Sur,Calle 77 Sur,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,6392.953795200508
123,"(4716471.768493413, 2252741.1739610774)",Carrera 52 - Carabobo,Carrera 52,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1137.1689232484546
124,"(4716247.623185146, 2252674.683803693)",Carrera 57,Carrera 57,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1055.5091489814345
125,"(4716142.762936739, 2250911.687646498)",Carrera 52 - Carabobo,Carrera 52,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,2661.263536810942
126,"(4717253.2877753945, 2248789.975645073)",Calle 52,Calle 52,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,4797.107827291803
127,"(4716612.950613259, 2247921.771978794)",Avenida 34,Avenida 34,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,593.3259820854496
128,"(4716371.28865476, 2247361.904376804)",Avenida 34,Avenida 34,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,735.3079888278224
