OBJECTID,Shape,nombre,quebrada_asociada,dominio,funcion,categoria,subcategoria,jerarquia,orden,direccion_referencia,cbml,id_zona,accion,Shape_Length,Shape_Area
63,"(4716011.656250367, 2252322.1613220093)",Parque Ambiental Morro Moravia,No Aplica,Bienes de uso público,Parques,Ecoparque,Ecoparque ,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 78 56B,04051110001,64,Mantenimiento,1572.3769489607994,66967.17139438986
64,"(4710910.718339171, 2245192.788313411)",Ecoparque Cerro Tres Cruces,No Aplica,Bienes de uso público,Parques,Ecoparque,Ecoparque de cerro y otros elementos del sistema orográfico,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 3D 84f,70010000212,65,Mantenimiento,6068.082651799994,915891.8071276988
65,"(4716774.7533887485, 2243613.973786091)",Ecoparque Naranjos 2,Q. La Escopetería,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 29 1A sur,14100160087,57,Mantenimiento,703.4920279271404,20998.588307645532
66,"(4717923.529888925, 2242486.3603873234)",Ecoparque Ecopalma,Q. La Volcana,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 5 sur 11,90040000848,66,Mantenimiento,1915.728886339694,82689.42052840738
67,"(4716406.450893031, 2242246.763329335)",Ecoparque El Complex 2,Q. La Aguacatala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 25 12 sur,14110040005,43,Mantenimiento,721.3642265012318,14734.871503482107
68,"(4711751.875591629, 2244646.8093784167)",Ecoparque La Capilla,Caño Rincón,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 5 Sur 80B 90,16100040013,44,Mantenimiento,562.0753894364824,15799.783742009196
69,"(4714157.886236638, 2246398.6784869623)",Ecoparque La Guayabala,Q. La Guayabala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 65 20,15040610001,25,Mantenimiento,429.2149928352612,4122.352695995464
70,"(4719631.474530174, 2248705.9287025705)",Ecoparque Cerro Pan de Azúcar,No Aplica,Bienes de uso público,Parques,Ecoparque,Ecoparque de cerro y otros elementos del sistema orográfico,Nivel zonal / Corregimental,Local,Calle 56D 14,90080000127,68,Mantenimiento,5944.641030476131,1172031.607541053
71,"(4713716.415220932, 2255305.541297609)",Ecoparque Mirador El Picacho,No Aplica,Bienes de uso público,Parques,Ecoparque,Ecoparque de cerro y otros elementos del sistema orográfico,Nivel zonal / Corregimental,Local,Carrera 92 102,60120000248,69,Mantenimiento,835.5729446005255,9450.272310715965
72,"(4717356.591895946, 2243202.4454273595)",Ecoparque Meninas,Q. La Vicenza,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 2 sur 17,14100010013,70,Mantenimiento,282.12037637512935,4520.051766806186
73,"(4718598.86135458, 2246572.5910605383)",Ecoparque Caunces de Oriente,Q. Los Cauces,Bienes de uso público,Parques,Ecoparque,Ecoparque de Borde,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 43E 10 01,09030110002,71,Mantenimiento,434.5009553307964,9651.872295982723
74,"(4714270.1681730505, 2246507.707855105)",Ecoparque La Guayabala,Q. La Guayabala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 65 22,15040750001,25,Generación,300.0647656777553,791.9033699244417
75,"(4716605.0933694085, 2242022.0653296853)",Ecoparque Los Balsos,Q. La Aguacatala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 25 16B sur,14120120017,43,Mantenimiento,298.9314204793383,2764.5470987324593
76,"(4712792.464054439, 2252729.134274662)",Ecoparque Palenque,Q. La Gómez,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 68B 89,07160040115,67,Generación,440.03591034105887,7622.725491235201
77,"(4710501.6901598675, 2248405.8769553904)",Ecoparque Carisma,Q. La Matea,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 93 34AA,13120260001,72,Generación,1576.6288997582656,70181.56214119996
78,"(4706541.693023377, 2241363.6696409755)",Ecoparque La Cabuyala,Q. La Cabuyala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel zonal / Corregimental,Local,Carrera 75 50E Sur,80000440073,73,Generación,359.5961398917383,6065.96962493843
79,"(4706689.188432269, 2241741.903257239)",Ecoparque La Manguala - La Riviera 2,Q. La Manguala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel zonal / Corregimental,Local,Calle 45 sur 72,80980100001,32,Generación,1462.473879236646,47675.8492678196
80,"(4709960.120685538, 2246352.857454078)",Ecoparque La Esperanza,Q. Altavista,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel zonal / Corregimental,Local,Calle 18 100,70010000384,55,Mantenimiento,373.1415961927069,8238.622304653292
81,"(4715224.157076454, 2253174.396116493)",Ecoparque La Cantera,Q. La Cantera,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 67 91A,05140190001,74,Mantenimiento,1055.1997152755514,20127.2210393936
