OBJECTID *,Nombre *,Tipo *,Dirección,Ciudad *,Shape *,latitud,longitud
3009,Hotel San Pedro del Fuerte,Hotel,"Calle 46 80 1-99, Floresta, La America, Medellín, ",Medellín,Point Z,6.2563169,-75.5983701
3010,Casa Mayor,Hotel,"Carrera 77C 48 1-199, Estadio, Laureles-Estadio, M",Medellín,Point Z,6.2583554,-75.59550329999999
3011,Primavera Plaza,Hotel,"Calle 50 79, Estadio, Laureles-Estadio, Medellín, ",Medellín,Point Z,6.263122999999999,-75.5963701
3012,Best,Hotel,"Calle 65 con Calle 65 91, Robledo, Medellín, Antio",Medellín,Point Z,6.27386,-75.59430859999999
3014,Affinity Aparta Hotel,Hotel,"Calle 6 Sur 43A 140, La Aguacatala, El Poblado, Me",Medellín,Point Z,6.199963299999999,-75.574963
3015,Waypoint Hostel,Hostel,"Carrera 48B 10 S 1-199, La Aguacatala, El Poblado,",Medellín,Point Z,6.1970833,-75.5793192
3017,Hotel Poblado Alejandría,Hostel,"Carrera 36 con Carrera 36 2 S, Alejandría, El Pobl",Medellín,Point Z,6.2034815,-75.5716589
3018,Living,Hostel,"Avenida Las Vegas 2-98, La Aguacatala, El Poblado,",Medellín,Point Z,6.1994367,-75.577612
3019,Soul,Hotel,"Carrera 35 con Carrera 35 2 S, Alejandría, El Pobl",Medellín,Point Z,6.2034815,-75.5716589
3020,Inturem,Hotel,"Carrera 43A con Avenida El Poblado, El Diamante 2,",Medellín,Point Z,6.200665499999999,-75.5727303
3021,Hampton,Hotel,"Calle 5 S con Avenida Loma de los Gonzalez, Los Ba",Medellín,Point Z,No dirección,No dirección
3022,Holiday Inn Express,Hotel,"Avenida El Poblado 2-98, Alejandría, El Poblado, M",Medellín,Point Z,6.2345327,-75.57020709999999
3023,City Express Plus,Hotel,"Patio Bonito, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.2060607,-75.57570199999999
3024,Alcazar de Oviedo,Hotel,"Calle 6 Sur 43A 246-298, La Aguacatala, El Poblado",Medellín,Point Z,6.2002691,-75.5754884
3025,Hotel bh,Hotel,"El Castillo, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.190501900000001,-75.5727914
3026,Poblado Plaza,Hotel,"Carrera 43A con Avenida El Poblado, La Aguacatala,",Medellín,Point Z,6.200665499999999,-75.5727303
3027,Hotel Poblado Alejandria,Hotel,"Carrera 36 con Carrera 36 2 S, Alejandría, El Pobl",Medellín,Point Z,6.2034815,-75.5716589
3029,Hotel Poblado Campestre,Hotel,"Calle 16B S con Calle 16B Sur 41, El Diamante 2, E",Medellín,Point Z,6.1875867,-75.5753093
3030,Hotel Leblon Suites,Hotel,"Carrera 42A 1 S 2-198, Alejandría, El Poblado, Med",Medellín,Point Z,6.2036912,-75.5710258
3031,Novelty,Hotel,"La Aguacatala, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.199026099999999,-75.5778849
3032,Hotel La Habana Vieja,Hotel,"Calle 10 Sur 48 7, La Aguacatala, El Poblado, Mede",Medellín,Point Z,6.1969541,-75.5788451
3033,Hotel Santa Ana Medellin,Hotel,"Calle 15 Sur 48 144, Santa María de los Ángeles, E",Medellín,Point Z,6.193175399999999,-75.58131829999999
3034,FOUR POINTS BY SHERATON,Hotel,"Carrera 43B con Carrera 43B 7 S, La Aguacatala, El",Medellín,Point Z,6.1968516,-75.5743396
3035,Portón Medellín,Hotel,"Carrera 43A con Avenida El Poblado, La Aguacatala,",Medellín,Point Z,6.200665499999999,-75.5727303
3036,ESTELAR,Hotel,"Patio Bonito, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.2060607,-75.57570199999999
3037,Hotel M,Hotel,"Alejandría, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.200739899999999,-75.56988079999999
3038,Poblado Campestre Hotel,Hotel,"Calle 16B S con Carrera 42, El Diamante 2, El Pobl",Medellín,Point Z,6.1884828,-75.5762704
3039,Portales del Campestre,Hotel,"Carrera 35C con Carrera 41, El Diamante 2, El Pobl",Medellín,Point Z,6.1869707,-75.5748706
3040,NH Collection Medellín Royal,Hotel,"Carrera 42 6 105-105, Los Balsos 2, El Poblado, Me",Medellín,Point Z,6.2003912,-75.57174510000002
3041,Hotel ESTELAR Apartamentos,Hotel,"Carrera 43B con Carrera 43B 8 S, La Aguacatala, El",Medellín,Point Z,6.2009614,-75.5744353
3042,Rose Plaza,Hotel,"Carrera 31 con Carrera 31 2, La Florida, El Poblad",Medellín,Point Z,6.2008807,-75.5635722
3043,Casa Victoria,Hotel,"Carrera 32 1 S con Transversal Inferior, Alejandrí",Medellín,Point Z,31.2000924,29.9187387
3044,Lleras Green Hotel,Hotel,"Calle 9 40, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.2090799,-75.5686187
3045,Los Andes Hostel,Hotel,"Carrera 43 10, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.2109198,-75.5698979
3046,Blackpine,Hostel,"Carrera 47A 5 41-199, Patio Bonito, El Poblado, Me",Medellín,Point Z,6.20758,-75.5763096
3047,Conejos y Conejos,Hotel,"Calle 10 43C 59-99, Astorga, El Poblado, Medellín,",Medellín,Point Z,6.211188099999999,-75.5723704
3048,Summer Wind,Hotel,"Calle 11 con Carrera 43B, Manila, El Poblado, Mede",Medellín,Point Z,6.2131045,-75.5706315
3049,Dix,Hotel,"Calle 10 41, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.210127399999999,-75.56887789999999
3050,La Presidenta,Hostel,"Avenida El Poblado 2-98, El Poblado, Medellín, Ant",Medellín,Point Z,6.2345327,-75.57020709999999
3051,Tamarindo Inn,Hostel,"Avenida El Poblado 2-98, El Poblado, Medellín, Ant",Medellín,Point Z,6.2345327,-75.57020709999999
3052,Alameda de la 10,Hotel,"Carrera 43F 10, Manila, El Poblado, Medellín, Anti",Medellín,Point Z,6.2123252,-75.5737123
3053,Hotel the Charlee,Hotel,"Calle 9A 37 1-49, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.2087095,-75.5668089
3054,Hotel Florencia Plaza,Hotel,"Carrera 41A 10, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.2107193,-75.56904879999999
3055,Hotel Torre Poblado,Hotel,"Carrera 42 9 2-148, El Poblado, Medellín, Antioqui",Medellín,Point Z,6.2003772,-75.57175099999999
3056,Hotel Sites,Hotel,"Carrera 45 con Carrera 45 5, Patio Bonito, El Pobl",Medellín,Point Z,6.207081199999999,-75.5743206
3057,Hotel Parque Plaza,Hotel,"Carrera 43B 9, Astorga, El Poblado, Medellín, Anti",Medellín,Point Z,6.2105982,-75.57140430000001
3058,Hotel Dann Carlton,Hotel,"Carrera 43A con Avenida El Poblado, La Florida, El",Medellín,Point Z,6.200665499999999,-75.5727303
3059,Orange Suites,Hotel,"Carrera 43C 7D 1-99, Astorga, El Poblado, Medellín",Medellín,Point Z,6.2088686,-75.57277359999999
3060,San Fernando Plaza,Hotel,"Avenida El Poblado 2-98, La Florida, El Poblado, M",Medellín,Point Z,6.2345327,-75.57020709999999
3061,La Charlee,Hotel,"Carrera 37A con Calle 9A, El Poblado, Medellín, An",Medellín,Point Z,6.2088582,-75.56719489999999
3062,Hotel Casa Lleras,Hotel,"Carrera 39 8 1-149, El Poblado, Medellín, Antioqui",Medellín,Point Z,6.2078376,-75.5684136
3063,Lleras Park Hostal,Hostel,"Carrera 39 8 1-149, El Poblado, Medellín, Antioqui",Medellín,Point Z,6.2078376,-75.5684136
3064,Hotel Cispata,Hotel,"Transversal 5A con Transversal 5A 45, Patio Bonito",Medellín,Point Z,6.2075126,-75.5754633
3065,Hotel Alcázar de Patio Bonito,Hotel,"Carrera 45 con Calle 6, Astorga, El Poblado, Medel",Medellín,Point Z,6.2076536,-75.57440629999999
3066,Hotel El Tesoro,Hotel,"Calle 11A 43B 2-148, Manila, El Poblado, Medellín,",Medellín,Point Z,6.212633299999999,-75.57070829999999
3067,Rose Street,Hotel,"Carrera 37A 8 1-99, El Poblado, Medellín, Antioqui",Medellín,Point Z,6.2073414,-75.5677584
3068,Art Hotel Boutique,Hotel,"Carrera 41 9, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.2096759,-75.5690018
3069,ESTELAR,Hotel,"Alejandría, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.200739899999999,-75.56988079999999
3070,Le Blon Suites,Hotel,"Carrera 42A 1 S 1-199, Alejandría, El Poblado, Med",Medellín,Point Z,6.2036912,-75.5710258
3071,Casa 10,Hotel,"Calle 11 con Carrera 43C, Manila, El Poblado, Mede",Medellín,Point Z,6.2111116,-75.571923
3072,Purple Monkey Hostel,Hostel,"Calle 12 43D 2-120, Manila, El Poblado, Medellín, ",Medellín,Point Z,6.1940845,-75.5789352
3073,Guayabal,Hotel,"Carrera 52 7, Campo Amor, Guayabal, Medellín, Anti",Medellín,Point Z,6.2133837,-75.5823004
3074,VIAGGIO,Hotel,"Castropol, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.2161401,-75.56697
3075,Carlton,Hotel,"Calle 17 con Calle 17 40B, Castropol, El Poblado, ",Medellín,Point Z,6.2167486,-75.5669891
3076,Tiger Hostel,Hostel,"Carrera 36 10 1-99, El Poblado, Medellín, Antioqui",Medellín,Point Z,6.2088864,-75.5659969
3077,Element Hotel,Hotel,"Carrera 34 7 25-169, La Florida, El Poblado, Medel",Medellín,Point Z,6.206197,-75.5647493
3078,Hotel Zona a,Hotel,"Calle 10B 37, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.2104611,-75.566447
3079,Happy Buddha Boutique Hostel,Hotel,"Carrera 35 7 21-149, La Florida, El Poblado, Medel",Medellín,Point Z,6.2063733,-75.56556359999999
3080,Caminante Hostel,Hostel,"Carrera 35 7 2-148, La Florida, El Poblado, Medell",Medellín,Point Z,6.2062357,-75.5652654
3081,Hotel Natura Medellín,Hotel,"Carrera 35 7 2-148, La Florida, El Poblado, Medell",Medellín,Point Z,6.2062357,-75.5652654
3082,Yolo Hostel Medellin,Hotel,"La Florida, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.205738699999999,-75.5640593
3083,Hotel Casa La Fleur,Hotel,"Carrera 35 7 2-148, La Florida, El Poblado, Medell",Medellín,Point Z,6.2062357,-75.5652654
3084,Hotel Merlott Lleras,Hotel,"Carrera 37 10, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.2078376,-75.56660389999999
